tag,n_reviews,n_toxic,toxicity_rate,toxicity_pct
Trading,2491683,67292,0.027006645708944517,2.700664570894452
Mature,2703720,72540,0.026829701300430518,2.682970130043052
Mini Golf,56710,1517,0.026750132251807442,2.675013225180744
Vehicular Combat,867093,23071,0.026607295872530398,2.66072958725304
Gore,5718317,151793,0.026545048132168958,2.654504813216896
FPS,9302848,242991,0.026120065597116066,2.6120065597116064
Lore-Rich,1308642,33708,0.02575799951400001,2.575799951400001
PvP,7651745,196634,0.025697929034488212,2.569792903448821
Fast-Paced,3839755,98480,0.025647469695332124,2.5647469695332124
Shooter,11000738,281229,0.02556455757786432,2.556455757786432
Cinematic,1523419,38633,0.025359405390112635,2.5359405390112633
Demons,768510,19353,0.02518249599875083,2.518249599875083
Memes,2154644,53878,0.025005522954139988,2.500552295413999
Free to Play,5665698,141179,0.02491820072301771,2.491820072301771
Destruction,1096729,27206,0.02480649276165762,2.480649276165762
Local Multiplayer,1876671,46461,0.024757136440004667,2.4757136440004666
Gun Customization,547732,13554,0.024745678543521284,2.4745678543521286
Sexual Content,2129155,52284,0.0245562206603089,2.45562206603089
Violent,5416391,132902,0.024537002590839546,2.4537002590839547
Comedy,4320991,105836,0.02449345532078174,2.449345532078174
Military,4698719,113868,0.024233839052729054,2.4233839052729054
Nudity,2296382,55215,0.024044344538495774,2.4044344538495777
War,5639568,135541,0.024033933095584627,2.4033933095584628
Hockey,13245,315,0.02378255945639864,2.378255945639864
Party,157978,3751,0.023743812429578803,2.37438124295788
Tile-Matching,2112,50,0.023674242424242424,2.367424242424242
Parody,265983,6268,0.023565415834846587,2.356541583484659
1980s,557438,13044,0.023399911739063358,2.339991173906336
Fighting,1397206,32665,0.02337880026281021,2.337880026281021
Massively Multiplayer,3395171,79350,0.023371429598096825,2.3371429598096825
Psychological Horror,3864014,89458,0.02315157243219098,2.315157243219098
First-Person,12815327,296287,0.02311973779521974,2.3119737795219737
Zombies,2040310,47078,0.02307394464566659,2.307394464566659
Beat 'em up,1138956,26016,0.022841971068241443,2.2841971068241445
Online Co-Op,9320071,211399,0.02268212334433933,2.268212334433933
Co-op,14335510,323135,0.022540879257173272,2.2540879257173274
Third-Person Shooter,3017294,67785,0.02246549391607182,2.2465493916071817
Character Action Game,285538,6403,0.02242433581519798,2.2424335815197978
Spectacle fighter,375723,8402,0.022362218975149246,2.2362218975149246
Bullet Time,266147,5936,0.02230346387522685,2.230346387522685
Survival Horror,2833692,62993,0.022230009471742165,2.2230009471742163
Difficult,8366261,185961,0.022227492066049577,2.222749206604958
Cartoon,787423,17497,0.022220585377871867,2.222058537787187
Martial Arts,310326,6848,0.02206711651617976,2.206711651617976
Realistic,6260678,137602,0.021978769711523256,2.1978769711523256
Quick-Time Events,413572,9080,0.021955064656214638,2.195506465621464
Alternate History,847195,18596,0.021950082330514226,2.1950082330514227
Sports,1079591,23665,0.021920338350356755,2.1920338350356756
Reboot,26911,589,0.021886960722381183,2.1886960722381184
Boomer Shooter,208469,4560,0.02187375581021639,2.187375581021639
Multiplayer,20840836,453543,0.021762226812782365,2.1762226812782366
Crime,810191,17607,0.021731912598387294,2.1731912598387293
Stealth,2840314,61699,0.021722598276106092,2.1722598276106093
Superhero,660269,14324,0.021694188277807985,2.1694188277807984
Split Screen,474860,10244,0.02157267405129933,2.1572674051299328
Werewolves,35370,763,0.021571953633022334,2.1571953633022334
Funny,7382714,159011,0.02153828524306915,2.153828524306915
Nostalgia,377607,8123,0.02151178341503203,2.151178341503203
Extraction Shooter,108881,2341,0.021500537283823624,2.1500537283823626
Tactical,6355361,136509,0.02147934633453552,2.147934633453552
Moddable,5875692,126080,0.021457898065453396,2.1457898065453396
Horror,6771326,145258,0.021451928322458555,2.1451928322458556
Combat,3200099,68588,0.021433086913873602,2.14330869138736
1990's,856619,18348,0.02141909063422595,2.1419090634225952
Arena Shooter,588747,12587,0.02137930214506401,2.137930214506401
Choose Your Own Adventure,994668,21256,0.021369944544310262,2.136994454431026
Class-Based,687200,14611,0.021261641443539,2.1261641443538997
Dating Sim,1456171,30715,0.021092989765625052,2.1092989765625054
PvE,2917287,61413,0.021051408380457597,2.1051408380457595
4 Player Local,625936,13169,0.02103889215510851,2.103889215510851
Combat Racing,137263,2887,0.02103261621850025,2.103261621850025
Action,25855303,542230,0.020971713230357424,2.0971713230357425
